DER Name,Alpha,Phases,Bus,Pi,P_inj,Q_inj
DER_325,0.0,['A'],88,22.8,0.0,0.0
DER_326,0.0,['A'],88,17.4,0.0,0.0
DER_327,1.0,['A'],88,21.3,-13.0,-6.296187362892083
DER_328,0.0,['A'],88,18.6,0.0,0.0
DER_329,0.0,"['B', 'C']",89,16.8,0.0,0.0
DER_330,0.0,"['A', 'C']",89,14.1,0.0,0.0
DER_331,1.0,"['A', 'B', 'C']",89,21.1,-16.0,-7.749153677405641
DER_332,0.0,"['B', 'C']",89,12.4,-0.0,-0.0
DER_333,1.0,['B'],90,5.8,26.0,12.592374725784167
DER_334,0.0,['B'],90,14.1,-0.0,-0.0
DER_335,0.0,['B'],90,17.4,0.0,0.0
DER_336,0.0,"['A', 'B']",91,9.0,-0.0,-0.0
DER_337,1.0,['C'],92,22.3,-31.0,-15.013985249973429
DER_338,0.0,['C'],92,14.4,-0.0,-0.0
DER_339,1.0,['C'],92,19.7,-27.0,-13.07669683062202
DER_340,0.0,['C'],92,17.6,0.0,0.0
DER_341,1.0,['C'],93,16.1,-14.0,-6.780509467729935
DER_342,0.0,"['A', 'B', 'C']",93,17.4,0.0,0.0
DER_343,1.0,['B'],93,8.9,21.0,10.170764201594903
DER_344,0.0,['B'],93,17.4,0.0,0.0
DER_345,0.0,"['A', 'B']",93,8.4,-0.0,-0.0
DER_346,0.0,['A'],94,11.0,0.0,0.0
DER_347,0.0,['A'],94,9.6,-0.0,-0.0
DER_348,1.0,['A'],94,10.5,14.0,6.780509467729935
DER_349,0.0,['A'],94,12.9,0.0,0.0
DER_350,0.0,['A'],94,22.7,0.0,0.0
DER_351,1.0,['A'],95,16.4,-31.0,-15.013985249973429
DER_352,0.0,['B'],95,11.4,-0.0,-0.0
DER_353,1.0,['B'],95,23.6,-22.0,-10.655086306432755
DER_354,1.0,"['A', 'B', 'C']",95,19.2,-26.0,-12.592374725784167
DER_355,0.0,['B'],96,17.9,0.0,0.0
DER_356,1.0,['B'],96,19.0,-23.0,-11.139408411270608
DER_357,0.0,['B'],96,14.8,-0.0,-0.0
DER_358,1.0,['B'],96,22.4,-20.0,-9.686442096757052
DER_359,1.0,['C'],97,7.3,28.0,13.56101893545987
DER_360,0.0,"['A', 'B', 'C']",97,13.9,-0.0,-0.0
DER_361,0.0,"['A', 'B']",98,13.9,-0.0,-0.0
DER_362,0.0,"['A', 'B']",98,15.1,0.0,0.0
DER_363,0.0,"['B', 'C']",99,12.4,-0.0,-0.0
DER_364,0.0,['A'],99,16.0,0.0,0.0
DER_365,1.0,"['A', 'B']",99,20.8,-21.0,-10.170764201594903
DER_366,0.0,['B'],99,12.7,0.0,0.0
DER_367,0.0,['A'],99,12.0,-0.0,-0.0
DER_368,0.0,['C'],99,21.4,0.0,0.0
DER_369,0.0,"['B', 'C']",99,15.1,-0.0,-0.0
DER_370,0.0,"['A', 'B']",100,4.1,-0.0,-0.0
DER_371,0.0,['C'],100,7.6,-0.0,-0.0
DER_372,1.0,"['A', 'B']",100,21.5,-22.0,-10.655086306432755
DER_373,0.0,['C'],100,20.6,0.0,0.0
DER_374,1.0,['C'],100,15.7,-18.0,-8.717797887081346
DER_375,0.0,"['A', 'B']",100,10.8,0.0,0.0
DER_376,0.0,"['A', 'C']",100,17.2,0.0,0.0
DER_377,1.0,"['A', 'C']",101,19.1,-26.0,-12.592374725784167
DER_378,1.0,['A'],101,20.9,-27.0,-13.07669683062202
DER_379,1.0,['C'],102,18.0,-29.0,-14.045341040297723
DER_380,0.0,['C'],103,15.6,0.0,0.0
DER_381,0.0,['C'],104,16.7,0.0,0.0
DER_382,0.0,['C'],104,9.5,-0.0,-0.0
DER_383,0.0,"['A', 'C']",105,17.5,0.0,0.0
DER_384,0.0,"['B', 'C']",105,13.3,0.0,0.0
DER_385,1.0,['B'],105,20.6,-13.0,-6.296187362892083
DER_386,0.0,['B'],106,14.9,-0.0,-0.0
DER_387,0.0,['B'],106,16.5,0.0,0.0
DER_388,0.0,['B'],106,13.8,-0.0,-0.0
DER_389,0.0,['B'],106,9.2,-0.0,-0.0
DER_390,0.0,['B'],107,11.8,0.0,0.0
DER_391,1.0,['C'],108,23.4,-14.0,-6.780509467729935
DER_392,0.0,['A'],109,18.5,-0.0,-0.0
DER_393,0.0,['A'],109,14.9,-0.0,-0.0
